Server address : 10.10.1.1:4433, Client address 10.10.1.2:6122
Server address : 10.10.2.1:6385, Client address 10.10.2.2:5341
Server address : 10.10.1.1:4993, Client address 10.10.1.2:5598
Server address : 10.10.2.1:6263, Client address 10.10.2.2:5789
Server address : 10.10.1.1:6350, Client address 10.10.1.2:5514
Server address : 10.10.2.1:5901, Client address 10.10.2.2:5682
Server address : 10.10.1.1:4478, Client address 10.10.1.2:6412
Server address : 10.10.2.1:6025, Client address 10.10.2.2:5502
Server address : 10.10.1.1:4738, Client address 10.10.1.2:6131
Server address : 10.10.2.1:5813, Client address 10.10.2.2:6242
Server address : 10.10.1.1:6616, Client address 10.10.1.2:6467
Server address : 10.10.2.1:6802, Client address 10.10.2.2:6238
