  Time         eno33np0          enp65s0f0np0        enp65s0f1np1   
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
11:35:55      3.32      1.52      0.00      0.00      0.00      0.00
11:35:56      9.17      4.49      0.00      0.00      0.00      0.00
11:35:57      1.70      0.00      0.00      0.00      0.00      0.00
11:35:58      2.87      0.00    312.41  115435.5    270.24  92360.25
11:35:59      2.11      0.00    818.88  226813.9    680.75  181437.1
11:36:00      4.04      0.00    810.62  226350.9    683.23  181002.9
11:36:01      3.46      0.00    843.66  225690.1    676.04  180752.4
11:36:02      4.33      0.00    837.61  225737.2    658.34  181015.7
11:36:03      4.75      0.00    865.15  225180.7    669.72  180307.3
11:36:04      3.28      0.00    832.21  226195.2    663.38  180821.8
11:36:05      4.10      0.00    832.20  225597.5    647.91  181030.3
11:36:06      3.22      0.00    798.29  225982.1    701.81  180936.2
11:36:07      2.99      0.00    820.73  225370.0    688.51  180397.6
11:36:08      3.39      0.00    825.16  224979.2    687.14  180118.6
11:36:09      2.99      0.00    560.23  233875.4    460.23  186801.1
11:36:10      3.16      0.06    561.50  233482.6    444.30  186645.6
11:36:11      4.22      0.00    563.38  234814.4    412.58  187712.8
11:36:12      3.34      0.00    503.96  235563.0    351.80  188254.3
11:36:13      4.27      0.00    388.36  238013.7    278.57  190336.8
11:36:14      3.10      0.00    369.93  238303.5    306.08  190647.4
11:36:15      5.03      0.06    367.03  237966.7    281.08  190304.3
11:36:16      3.04      0.00    340.12  239274.6    266.48  191348.1
  Time         eno33np0          enp65s0f0np0        enp65s0f1np1   
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
11:36:17      4.04      0.06    352.27  237377.0    308.37  189966.0
11:36:18      2.34      0.00    155.73  106344.6    134.50  85216.02
11:36:19      2.28      0.00      0.00      0.00      0.00      0.00
11:36:20      4.16      0.00      0.00      0.00      0.00      0.00
11:36:21     16.60     13.78      0.00      0.00      0.00      0.00
11:36:22     26.17     22.22      0.00      0.00      0.00      0.00
