[2024-05-26T23:48:24.922531560Z INFO  quiche_apps::multicore_server] [Listener] listening on 10.10.1.1:4433
[2024-05-26T23:48:26.962021089Z INFO  quiche_apps::multicore_server] 10.10.1.1:4433 <-> 10.10.1.2:5139 created app conn
[2024-05-26T23:48:26.968866993Z INFO  quiche_apps::multicore_server] Seen new path (10.10.1.1:5272, 10.10.1.2:6117)
[2024-05-26T23:48:26.968944348Z INFO  quiche_apps::multicore_server] Seen new path (10.10.2.1:4960, 10.10.2.2:5339)
[2024-05-26T23:48:26.968949477Z INFO  quiche_apps::multicore_server] Seen new path (10.10.2.1:6830, 10.10.2.2:5429)
[2024-05-26T23:48:26.969130346Z INFO  quiche_apps::multicore_server] Seen new path (10.10.1.1:6946, 10.10.1.2:6629)
[2024-05-26T23:48:26.969148921Z INFO  quiche_apps::multicore_server] Seen new path (10.10.2.1:4489, 10.10.2.2:5966)
[2024-05-26T23:48:26.969151506Z INFO  quiche_apps::multicore_server] Seen new path (10.10.1.1:5053, 10.10.1.2:6049)
[2024-05-26T23:48:26.969151526Z INFO  quiche_apps::multicore_server] Seen new path (10.10.2.1:4721, 10.10.2.2:4972)
[2024-05-26T23:48:26.969395082Z INFO  quiche_apps::multicore_server] Path (10.10.1.1:5272, 10.10.1.2:6117) is now validated
[2024-05-26T23:48:26.969452329Z INFO  quiche_apps::multicore_server] Path (10.10.1.1:6946, 10.10.1.2:6629) is now validated
[2024-05-26T23:48:26.969511260Z INFO  quiche_apps::multicore_server] 10.10.1.1:5272 <-> 10.10.1.2:6117 created app conn
[2024-05-26T23:48:26.969535315Z INFO  quiche_apps::multicore_server] Path (10.10.2.1:6830, 10.10.2.2:5429) is now validated
[2024-05-26T23:48:26.969624051Z INFO  quiche_apps::multicore_server] 10.10.1.1:6946 <-> 10.10.1.2:6629 created app conn
[2024-05-26T23:48:26.969648817Z INFO  quiche_apps::multicore_server] Path (10.10.2.1:4960, 10.10.2.2:5339) is now validated
[2024-05-26T23:48:26.969698380Z INFO  quiche_apps::multicore_server] 10.10.2.1:6830 <-> 10.10.2.2:5429 created app conn
[2024-05-26T23:48:26.969704642Z INFO  quiche_apps::multicore_server] Path (10.10.2.1:4489, 10.10.2.2:5966) is now validated
[2024-05-26T23:48:26.969711184Z INFO  quiche_apps::multicore_server] 10.10.2.1:4960 <-> 10.10.2.2:5339 created app conn
[2024-05-26T23:48:26.969705193Z INFO  quiche_apps::multicore_server] Path (10.10.1.1:5053, 10.10.1.2:6049) is now validated
[2024-05-26T23:48:26.969724609Z INFO  quiche_apps::multicore_server] 10.10.2.1:4489 <-> 10.10.2.2:5966 created app conn
[2024-05-26T23:48:26.969704802Z INFO  quiche_apps::multicore_server] Path (10.10.2.1:4721, 10.10.2.2:4972) is now validated
[2024-05-26T23:48:26.969747212Z INFO  quiche_apps::multicore_server] 10.10.2.1:4721 <-> 10.10.2.2:4972 created app conn
[2024-05-26T23:48:26.969749185Z INFO  quiche_apps::multicore_server] 10.10.1.1:5053 <-> 10.10.1.2:6049 created app conn
[2024-05-26T23:48:46.963089664Z INFO  quiche_apps::multicore_server] path 10.10.1.1:4433 <-> 10.10.1.2:5139 done sending: app_conn: McMPQUICConnServer { to_send: None, sent: 8212464722, stream_ids: {3}, sent_fin_ids: {3}, end_time: Some(Instant { tv_sec: 4567, tv_nsec: 509022348 }) }
[2024-05-26T23:48:46.969631438Z INFO  quiche_apps::multicore_server] path 10.10.1.1:5272 <-> 10.10.1.2:6117 done sending: app_conn: McMPQUICConnServer { to_send: None, sent: 7046763032, stream_ids: {7}, sent_fin_ids: {7}, end_time: Some(Instant { tv_sec: 4567, tv_nsec: 516515073 }) }
