Server address : 10.10.1.1:4433, Client address 10.10.1.2:5476
Server address : 10.10.2.1:5834, Client address 10.10.2.2:5037
Server address : 10.10.1.1:5268, Client address 10.10.1.2:5061
Server address : 10.10.2.1:6824, Client address 10.10.2.2:4963
Server address : 10.10.1.1:5914, Client address 10.10.1.2:5373
Server address : 10.10.2.1:6385, Client address 10.10.2.2:5052
Server address : 10.10.1.1:5674, Client address 10.10.1.2:5278
Server address : 10.10.2.1:5725, Client address 10.10.2.2:4673
Server address : 10.10.1.1:4875, Client address 10.10.1.2:4944
Server address : 10.10.2.1:5978, Client address 10.10.2.2:6732
Server address : 10.10.1.1:6706, Client address 10.10.1.2:5903
Server address : 10.10.2.1:5551, Client address 10.10.2.2:6399
Server address : 10.10.1.1:4826, Client address 10.10.1.2:6936
Server address : 10.10.2.1:6857, Client address 10.10.2.2:5548
