[2024-05-27T00:16:48.725257608Z INFO  quiche_apps::multicore_server] [Listener] listening on 10.10.1.1:4433
[2024-05-27T00:16:50.753046344Z INFO  quiche_apps::multicore_server] 10.10.1.1:4433 <-> 10.10.1.2:5689 created app conn
[2024-05-27T00:16:50.760680454Z INFO  quiche_apps::multicore_server] Seen new path (10.10.2.1:5252, 10.10.2.2:6312)
[2024-05-27T00:16:50.760732572Z INFO  quiche_apps::multicore_server] Seen new path (10.10.2.1:6235, 10.10.2.2:6780)
[2024-05-27T00:16:50.760867936Z INFO  quiche_apps::multicore_server] Seen new path (10.10.1.1:6451, 10.10.1.2:5292)
[2024-05-27T00:16:50.760941754Z INFO  quiche_apps::multicore_server] Seen new path (10.10.1.1:5886, 10.10.1.2:5646)
[2024-05-27T00:16:50.761066197Z INFO  quiche_apps::multicore_server] Seen new path (10.10.1.1:6099, 10.10.1.2:5738)
[2024-05-27T00:16:50.761173057Z INFO  quiche_apps::multicore_server] Path (10.10.2.1:5252, 10.10.2.2:6312) is now validated
[2024-05-27T00:16:50.761171705Z INFO  quiche_apps::multicore_server] Seen new path (10.10.2.1:6335, 10.10.2.2:6347)
[2024-05-27T00:16:50.761264749Z INFO  quiche_apps::multicore_server] 10.10.2.1:5252 <-> 10.10.2.2:6312 created app conn
[2024-05-27T00:16:50.761321315Z INFO  quiche_apps::multicore_server] Seen new path (10.10.1.1:6693, 10.10.1.2:4711)
[2024-05-27T00:16:50.761321295Z INFO  quiche_apps::multicore_server] Seen new path (10.10.2.1:5361, 10.10.2.2:6394)
[2024-05-27T00:16:50.761327096Z INFO  quiche_apps::multicore_server] Seen new path (10.10.2.1:5087, 10.10.2.2:5839)
[2024-05-27T00:16:50.761327336Z INFO  quiche_apps::multicore_server] Seen new path (10.10.2.1:6965, 10.10.2.2:5490)
[2024-05-27T00:16:50.761608002Z INFO  quiche_apps::multicore_server] Path (10.10.2.1:6335, 10.10.2.2:6347) is now validated
[2024-05-27T00:16:50.761610016Z INFO  quiche_apps::multicore_server] Path (10.10.1.1:5886, 10.10.1.2:5646) is now validated
[2024-05-27T00:16:50.761608864Z INFO  quiche_apps::multicore_server] Path (10.10.1.1:6099, 10.10.1.2:5738) is now validated
[2024-05-27T00:16:50.761676901Z INFO  quiche_apps::multicore_server] Path (10.10.2.1:6235, 10.10.2.2:6780) is now validated
[2024-05-27T00:16:50.761683754Z INFO  quiche_apps::multicore_server] 10.10.1.1:5886 <-> 10.10.1.2:5646 created app conn
[2024-05-27T00:16:50.761684395Z INFO  quiche_apps::multicore_server] 10.10.2.1:6335 <-> 10.10.2.2:6347 created app conn
[2024-05-27T00:16:50.761695696Z INFO  quiche_apps::multicore_server] 10.10.1.1:6099 <-> 10.10.1.2:5738 created app conn
[2024-05-27T00:16:50.761729429Z INFO  quiche_apps::multicore_server] Path (10.10.1.1:6451, 10.10.1.2:5292) is now validated
[2024-05-27T00:16:50.761733898Z INFO  quiche_apps::multicore_server] Seen new path (10.10.1.1:6290, 10.10.1.2:6538)
[2024-05-27T00:16:50.761782850Z INFO  quiche_apps::multicore_server] 10.10.2.1:6235 <-> 10.10.2.2:6780 created app conn
[2024-05-27T00:16:50.761892896Z INFO  quiche_apps::multicore_server] Path (10.10.1.1:6693, 10.10.1.2:4711) is now validated
[2024-05-27T00:16:50.761894318Z INFO  quiche_apps::multicore_server] Path (10.10.2.1:5087, 10.10.2.2:5839) is now validated
