Server address : 10.10.1.1:4433, Client address 10.10.1.2:4495
Server address : 10.10.2.1:6346, Client address 10.10.2.2:4499
Server address : 10.10.1.1:4940, Client address 10.10.1.2:6420
Server address : 10.10.2.1:5303, Client address 10.10.2.2:5936
Server address : 10.10.1.1:5666, Client address 10.10.1.2:4851
Server address : 10.10.2.1:6659, Client address 10.10.2.2:6751
Server address : 10.10.1.1:4619, Client address 10.10.1.2:4567
Server address : 10.10.2.1:6285, Client address 10.10.2.2:6855
Server address : 10.10.1.1:4992, Client address 10.10.1.2:4464
Server address : 10.10.2.1:6822, Client address 10.10.2.2:6799
Server address : 10.10.1.1:6024, Client address 10.10.1.2:5595
Server address : 10.10.2.1:5146, Client address 10.10.2.2:5279
Server address : 10.10.1.1:6083, Client address 10.10.1.2:6268
Server address : 10.10.2.1:6000, Client address 10.10.2.2:4467
Server address : 10.10.1.1:4753, Client address 10.10.1.2:5490
Server address : 10.10.2.1:5147, Client address 10.10.2.2:5390
