Server address : 10.10.1.1:4433, Client address 10.10.1.2:6554
Server address : 10.10.2.1:4954, Client address 10.10.2.2:6702
Server address : 10.10.1.1:6236, Client address 10.10.1.2:4992
Server address : 10.10.2.1:6651, Client address 10.10.2.2:4674
Server address : 10.10.1.1:4588, Client address 10.10.1.2:4506
Server address : 10.10.2.1:4720, Client address 10.10.2.2:6571
Server address : 10.10.1.1:5698, Client address 10.10.1.2:6755
Server address : 10.10.2.1:6546, Client address 10.10.2.2:6245
Server address : 10.10.1.1:6448, Client address 10.10.1.2:4991
Server address : 10.10.2.1:6582, Client address 10.10.2.2:5642
Server address : 10.10.1.1:6151, Client address 10.10.1.2:6780
Server address : 10.10.2.1:6648, Client address 10.10.2.2:4634
Server address : 10.10.1.1:5499, Client address 10.10.1.2:5822
Server address : 10.10.2.1:6308, Client address 10.10.2.2:6925
Server address : 10.10.1.1:4582, Client address 10.10.1.2:4823
Server address : 10.10.2.1:6875, Client address 10.10.2.2:5568
