Server address : 10.10.1.1:4433, Client address 10.10.1.2:5893
Server address : 10.10.2.1:4507, Client address 10.10.2.2:6603
Server address : 10.10.1.1:4542, Client address 10.10.1.2:5319
Server address : 10.10.2.1:6341, Client address 10.10.2.2:6463
Server address : 10.10.1.1:5890, Client address 10.10.1.2:5555
Server address : 10.10.2.1:5693, Client address 10.10.2.2:4568
Server address : 10.10.1.1:5004, Client address 10.10.1.2:5493
Server address : 10.10.2.1:6113, Client address 10.10.2.2:4725
Server address : 10.10.1.1:6115, Client address 10.10.1.2:4629
Server address : 10.10.2.1:5585, Client address 10.10.2.2:6431
Server address : 10.10.1.1:6360, Client address 10.10.1.2:6155
Server address : 10.10.2.1:6864, Client address 10.10.2.2:5955
Server address : 10.10.1.1:6026, Client address 10.10.1.2:4599
Server address : 10.10.2.1:5652, Client address 10.10.2.2:5277
Server address : 10.10.1.1:4595, Client address 10.10.1.2:4635
