Server address : 10.10.1.1:4433, Client address 10.10.1.2:6529
Server address : 10.10.2.1:4509, Client address 10.10.2.2:6787
Server address : 10.10.1.1:6627, Client address 10.10.1.2:4705
Server address : 10.10.2.1:6784, Client address 10.10.2.2:6884
Server address : 10.10.1.1:5883, Client address 10.10.1.2:6383
Server address : 10.10.2.1:5920, Client address 10.10.2.2:4565
Server address : 10.10.1.1:5826, Client address 10.10.1.2:4818
Server address : 10.10.2.1:4466, Client address 10.10.2.2:5034
Server address : 10.10.1.1:4592, Client address 10.10.1.2:4537
Server address : 10.10.2.1:4795, Client address 10.10.2.2:5299
Server address : 10.10.1.1:5120, Client address 10.10.1.2:6086
Server address : 10.10.2.1:4587, Client address 10.10.2.2:4730
Server address : 10.10.1.1:6841, Client address 10.10.1.2:6100
Server address : 10.10.2.1:4629, Client address 10.10.2.2:6278
