[2024-06-02T09:51:07.975367468Z INFO  quiche_apps::client] connecting to 10.10.1.1:4817 from 10.10.1.2:5971 with scid e8a22036503a0c815abd3dfafd996284e1d353d4
[2024-06-02T09:51:28.070162418Z INFO  quiche] Received fin for stream id 3
[2024-06-02T09:51:28.070305466Z INFO  quiche_apps::client] receieved in 20.094833712s app_conn: AdaptedMcMPQUICConnClient { received: 6623322957, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:51:28.080388428Z INFO  quiche_apps::client] receieved in 20.104916785s app_conn: AdaptedMcMPQUICConnClient { received: 6623322957, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:51:28.090446594Z INFO  quiche_apps::client] receieved in 20.114974961s app_conn: AdaptedMcMPQUICConnClient { received: 6623322957, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:51:28.100504991Z INFO  quiche_apps::client] receieved in 20.125033368s app_conn: AdaptedMcMPQUICConnClient { received: 6623322957, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:51:28.110563568Z INFO  quiche_apps::client] receieved in 20.135091935s app_conn: AdaptedMcMPQUICConnClient { received: 6623322957, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:51:28.120621073Z INFO  quiche_apps::client] receieved in 20.14514945s app_conn: AdaptedMcMPQUICConnClient { received: 6623322957, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:51:28.130679138Z INFO  quiche_apps::client] receieved in 20.155207505s app_conn: AdaptedMcMPQUICConnClient { received: 6623322957, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:51:28.140738136Z INFO  quiche_apps::client] connection closed, recv=5101119 sent=22277 lost=0 retrans=0 sent_bytes=1220594 recv_bytes=6885294525 lost_bytes=0 [local_addr=10.10.1.2:5971 peer_addr=10.10.1.1:4817 validation_state=Validated state=Active recv=5101119 sent=22277 lost=0 lost_spurious=0 retrans=0 rtt=4.58112ms min_rtt=Some(34.831µs) rttvar=4.553584ms rtt_update=4458 cwnd=13500 sent_bytes=1220594 recv_bytes=6885294525 lost_bytes=0 stream_retrans_bytes=0 pmtu=1350 delivery_rate=7565]
