  Time         eno33np0          enp65s0f0np0        enp65s0f1np1   
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
11:04:30      3.04      1.12      0.00      0.00      0.00      0.00
11:04:31     10.35      4.83  60028.08    108.23  29988.64     53.34
11:04:32      2.81      0.00  313257.4    266.30  156493.7    119.49
11:04:33      3.69      0.00  317969.1    220.00  159151.9    113.40
11:04:34      2.93      0.00  315376.9    233.38  157497.4    128.99
11:04:35      5.62      0.00  315139.3    237.68  157599.2    121.32
11:04:36      3.57      0.00  313625.8    252.40  156848.4    121.17
11:04:37      6.09      0.00  313692.8    249.10  156932.7    130.65
11:04:38      2.52      0.00  314863.5    239.34  157368.4    122.88
11:04:39      3.34      0.00  314706.4    250.62  157111.2    113.51
11:04:40      3.57      0.00  313996.8    252.23  157093.9    127.46
11:04:41      4.16      0.00  317240.7    156.79  158666.0     81.24
11:04:42      3.45      0.00  317486.6    152.11  158704.5     75.43
11:04:43      3.80      0.00  317294.8    158.53  158917.5     79.97
11:04:44      2.05      0.00  316542.8    165.05  158278.9     83.26
11:04:45      1.93      0.00  316890.4    155.57  158228.3     73.07
11:04:46      4.04      0.00  317284.3    147.07  158621.1     75.53
11:04:47      3.28      0.00  316953.4    159.01  158415.2     74.95
11:04:48      4.10      0.00  315244.0    165.65  157701.7     83.32
11:04:49      3.16      0.00  317361.7    141.66  158539.4     69.37
11:04:50      3.98      0.00  314923.5    159.37  157480.5     78.62
11:04:51     12.30      8.56  245839.1    114.76  122984.4     60.47
  Time         eno33np0          enp65s0f0np0        enp65s0f1np1   
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
11:04:52     16.03     10.27      0.00      0.00      0.00      0.00
