[2024-06-02T07:29:57.389941260Z INFO  quiche_apps::client] connecting to 10.10.1.1:4433 from 10.10.1.2:4569 with scid 6c55559127e1f802b684b5832c1e5219e2ee8c16
[2024-06-02T07:30:17.503805966Z INFO  quiche] Received fin for stream id 3
[2024-06-02T07:30:17.504157164Z INFO  quiche_apps::client] receieved in 20.114115216s app_conn: AdaptedMcMPQUICConnClient { received: 8590237526, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T07:30:17.514273075Z INFO  quiche_apps::client] receieved in 20.124231216s app_conn: AdaptedMcMPQUICConnClient { received: 8590237526, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T07:30:17.524331607Z INFO  quiche_apps::client] receieved in 20.134289789s app_conn: AdaptedMcMPQUICConnClient { received: 8590237526, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T07:30:17.534390651Z INFO  quiche_apps::client] receieved in 20.144348843s app_conn: AdaptedMcMPQUICConnClient { received: 8590237526, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T07:30:17.544448894Z INFO  quiche_apps::client] receieved in 20.154407086s app_conn: AdaptedMcMPQUICConnClient { received: 8590237526, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T07:30:17.554506966Z INFO  quiche_apps::client] receieved in 20.164465158s app_conn: AdaptedMcMPQUICConnClient { received: 8590237526, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T07:30:17.564566420Z INFO  quiche_apps::client] connection closed, recv=6615993 sent=24887 lost=0 retrans=0 sent_bytes=1311485 recv_bytes=8930928705 lost_bytes=0 [local_addr=10.10.1.2:4569 peer_addr=10.10.1.1:4433 validation_state=Validated state=Active recv=6615993 sent=24887 lost=0 lost_spurious=0 retrans=0 rtt=2.812435ms min_rtt=Some(54.546µs) rttvar=4.191843ms rtt_update=1480 cwnd=13500 sent_bytes=1311485 recv_bytes=8930928705 lost_bytes=0 stream_retrans_bytes=0 pmtu=1350 delivery_rate=3288]
