[2024-06-02T07:29:57.434274881Z INFO  quiche_apps::client] connecting to 10.10.1.1:6579 from 10.10.1.2:5502 with scid 7dc04ee6d0def5d03ae7edfc535c147b3b850b1c
[2024-06-02T07:30:17.437917025Z INFO  quiche] Received fin for stream id 3
[2024-06-02T07:30:17.437951740Z INFO  quiche_apps::client] receieved in 20.003586991s app_conn: AdaptedMcMPQUICConnClient { received: 6831048292, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T07:30:17.448024840Z INFO  quiche_apps::client] receieved in 20.01365977s app_conn: AdaptedMcMPQUICConnClient { received: 6831048292, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T07:30:17.458088934Z INFO  quiche_apps::client] receieved in 20.023724205s app_conn: AdaptedMcMPQUICConnClient { received: 6831048292, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T07:30:17.468146765Z INFO  quiche_apps::client] receieved in 20.033782016s app_conn: AdaptedMcMPQUICConnClient { received: 6831048292, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T07:30:17.478203745Z INFO  quiche_apps::client] receieved in 20.043839016s app_conn: AdaptedMcMPQUICConnClient { received: 6831048292, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T07:30:17.488260395Z INFO  quiche_apps::client] receieved in 20.053895655s app_conn: AdaptedMcMPQUICConnClient { received: 6831048292, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T07:30:17.498316683Z INFO  quiche_apps::client] receieved in 20.063951964s app_conn: AdaptedMcMPQUICConnClient { received: 6831048292, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T07:30:17.508373603Z INFO  quiche_apps::client] connection closed, recv=5260999 sent=10114 lost=0 retrans=0 sent_bytes=575011 recv_bytes=7101312752 lost_bytes=0 [local_addr=10.10.1.2:5502 peer_addr=10.10.1.1:6579 validation_state=Validated state=Active recv=5260999 sent=10114 lost=0 lost_spurious=0 retrans=0 rtt=3.776634ms min_rtt=Some(73.648µs) rttvar=4.479062ms rtt_update=2892 cwnd=13500 sent_bytes=575011 recv_bytes=7101312752 lost_bytes=0 stream_retrans_bytes=0 pmtu=1350 delivery_rate=97264]
