Server address : 10.10.1.1:4433, Client address 10.10.1.2:6502
Server address : 10.10.2.1:5504, Client address 10.10.2.2:5326
Server address : 10.10.1.1:5146, Client address 10.10.1.2:6799
Server address : 10.10.2.1:6016, Client address 10.10.2.2:5693
Server address : 10.10.1.1:5123, Client address 10.10.1.2:6233
Server address : 10.10.2.1:5413, Client address 10.10.2.2:5332
Server address : 10.10.1.1:6766, Client address 10.10.1.2:4956
Server address : 10.10.2.1:5045, Client address 10.10.2.2:5236
Server address : 10.10.1.1:5437, Client address 10.10.1.2:4797
Server address : 10.10.2.1:5597, Client address 10.10.2.2:5543
Server address : 10.10.1.1:5815, Client address 10.10.1.2:5022
