Server address : 10.10.1.1:4433, Client address 10.10.1.2:5046
Server address : 10.10.2.1:6576, Client address 10.10.2.2:6614
Server address : 10.10.1.1:6869, Client address 10.10.1.2:6543
Server address : 10.10.2.1:6093, Client address 10.10.2.2:5768
Server address : 10.10.1.1:6136, Client address 10.10.1.2:6528
Server address : 10.10.2.1:5846, Client address 10.10.2.2:6752
Server address : 10.10.1.1:6747, Client address 10.10.1.2:6187
Server address : 10.10.2.1:6365, Client address 10.10.2.2:6280
Server address : 10.10.1.1:5507, Client address 10.10.1.2:4925
Server address : 10.10.2.1:5618, Client address 10.10.2.2:5143
Server address : 10.10.1.1:5506, Client address 10.10.1.2:5645
Server address : 10.10.2.1:4549, Client address 10.10.2.2:5003
Server address : 10.10.1.1:6303, Client address 10.10.1.2:6141
Server address : 10.10.2.1:5877, Client address 10.10.2.2:4689
