  Time         eno33np0          enp65s0f0np0        enp65s0f1np1   
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
15:23:11      5.43      1.24      0.00      0.00      0.00      0.00
15:23:12      9.71      4.71  33437.61    226.24  29468.41    195.61
15:23:13      5.74      0.00  358289.9    938.13  269648.5    934.36
15:23:14      2.52      0.00  1.07e+06    300.32  946513.1    251.37
15:23:15      2.52      0.00  1.14e+06    498.81  995139.8    618.04
15:23:16      2.11      0.00  1.15e+06    508.73  992888.5    607.41
15:23:17      3.86      0.00  1.15e+06    512.58  988511.9    599.11
15:23:18      2.52      0.00  1.16e+06    516.63  983689.3    630.05
15:23:19      4.80      0.00  1.15e+06    514.84  997517.5    609.52
15:23:20      2.34      0.00  1.14e+06    508.67  994752.1    570.28
15:23:21      3.28      0.00  1.13e+06    514.78  986878.1    546.64
15:23:22      3.46      0.00  1.11e+06    521.71  1.02e+06    591.94
15:23:23      3.76      0.00  1.10e+06    502.68  1.03e+06    602.52
15:23:24      2.93      0.00  1.10e+06    520.22  1.04e+06    620.56
15:23:25      5.69      0.24  1.09e+06    509.60  1.03e+06    612.04
15:23:26      4.10      0.00  1.12e+06    528.36  1.03e+06    599.27
15:23:27      1.76      0.00  1.11e+06    523.62  1.04e+06    610.15
15:23:28      5.85      0.00  1.10e+06    504.87  1.04e+06    609.87
15:23:29      3.39      0.00  1.11e+06    530.24  1.04e+06    600.07
15:23:30      4.56      0.00  1.10e+06    516.60  1.04e+06    607.40
15:23:31      2.69      0.00  1.09e+06    508.57  1.03e+06    596.31
15:23:32      6.82      3.00  869047.3    411.66  822715.3    474.30
  Time         eno33np0          enp65s0f0np0        enp65s0f1np1   
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
15:23:33     17.81     15.62      0.00      0.00      0.00      0.00
