  Time         eno33np0          enp65s0f0np0        enp65s0f1np1   
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
00:55:17      3.73      0.00      0.00      0.00      0.00      0.00
00:55:18      4.98      0.12      0.00      0.00      0.00      0.00
00:55:19      3.92      0.00      0.00      0.00      0.00      0.00
00:55:20      4.39      0.00      0.00      0.00      0.00      0.00
00:55:21      3.75      0.00      0.00      0.00      0.00      0.00
00:55:22      2.69      0.00      0.00      0.00      0.00      0.00
00:55:23      3.80      0.00      0.00      0.00      0.00      0.00
00:55:24      1.99      0.00      0.00      0.00      0.00      0.00
00:55:25      3.80      0.06      0.00      0.00      0.00      0.00
00:55:26      4.14      2.79      0.00      0.00      0.00      0.00
00:55:27      4.39      0.00      0.00      0.00      0.00      0.00
00:55:28      4.57      2.30      0.00      0.00      0.00      0.00
00:55:29      4.10      0.00      0.00      0.00      0.00      0.00
00:55:30      2.05      0.06      0.00      0.00      0.00      0.00
00:55:31     10.95      0.00      0.00      0.00      0.00      0.00
00:55:32      2.63      0.00      0.00      0.00      0.00      0.00
00:55:33      7.79      0.00      0.00      0.00      0.00      0.00
00:55:34      1.96      0.15      0.00      0.00      0.00      0.00
00:55:35      8.66      0.00      0.00      0.00      0.00      0.00
00:55:36      2.17      0.00      0.00      0.00      0.00      0.00
00:55:37      7.73      0.00      0.00      0.00      0.00      0.00
00:55:38      1.76      0.00      0.00      0.00      0.00      0.00
  Time         eno33np0          enp65s0f0np0        enp65s0f1np1   
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
00:55:39      8.90      0.00      0.00      0.00      0.00      0.00
00:55:40      4.57      1.43      0.00      0.00      0.00      0.00
00:55:41      3.41      0.71      0.00      0.00      0.00      0.00
00:55:42      4.60      0.50      0.00      0.00      0.00      0.00
00:55:43      6.08      1.83      0.00      0.00      0.00      0.00
00:55:44      6.27      0.24      0.00      0.00      0.00      0.00
00:55:45      4.27      0.00      0.00      0.00      0.00      0.00
00:55:46      5.38      0.00    806.07  868584.3    328.53  447218.9
00:55:47      5.03      0.00    800.44  1.12e+06    532.37  743693.4
00:55:48      5.62      0.00    787.78  1.11e+06    537.86  770184.5
00:55:49      2.81      0.00    816.86  1.12e+06    603.30  794765.0
00:55:50      5.85      0.00    830.64  1.12e+06    593.30  787760.3
00:55:51      3.04      0.00    820.77  1.12e+06    598.90  791062.6
00:55:52      2.40      0.00    813.86  1.11e+06    565.47  762230.4
00:55:53      2.34      0.00    829.05  1.13e+06    561.39  754883.5
00:55:54      3.16      0.00    836.69  1.13e+06    565.27  769518.3
00:55:55      2.82      0.06    822.05  1.12e+06    572.79  761372.9
00:55:56      2.99      0.00    821.68  1.12e+06    525.24  715536.8
00:55:57      4.16      0.00    830.45  1.13e+06    586.54  774598.1
00:55:58      3.04      0.06    820.57  1.12e+06    599.91  787582.8
00:55:59      5.04      0.00    817.50  1.11e+06    555.52  755349.5
00:56:00      4.04      0.00    838.92  1.13e+06    599.07  781401.0
  Time         eno33np0          enp65s0f0np0        enp65s0f1np1   
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
00:56:01      5.27      0.00    834.56  1.14e+06    587.07  773341.0
00:56:02      5.03      0.00    829.67  1.13e+06    586.98  773990.1
00:56:03      5.85      0.00    835.77  1.13e+06    593.30  778007.8
00:56:04      4.98      0.00    835.59  1.13e+06    592.09  780230.2
00:56:05      3.45      0.06    825.06  1.12e+06    561.27  756410.8
00:56:06      3.34      0.00    186.07  251217.1    140.47  185404.2
00:56:07      4.16      0.00      0.00      0.00      0.00      0.00
00:56:08      3.11      0.00      0.00      0.00      0.00      0.00
00:56:09      3.39      1.37      0.00      0.00      0.00      0.00
00:56:10      3.80      1.14      0.00      0.00      0.00      0.00
00:56:11      3.47      0.23      0.00      0.00      0.00      0.00
00:56:12      2.34      0.00      0.00      0.00      0.00      0.00
00:56:13      2.63      0.00      0.00      0.00      0.00      0.00
00:56:14      2.81      0.06      0.00      0.00      0.00      0.00
00:56:15      3.69      0.00      0.00      0.00      0.00      0.00
00:56:16      3.87      0.09      0.00      0.00      0.00      0.00
00:56:17      2.70      0.09      0.00      0.00      0.00      0.00
00:56:18      4.92      0.00      0.00      0.00      0.00      0.00
00:56:19      3.04      0.00      0.00      0.00      0.00      0.00
00:56:20      6.20      0.00      0.00      0.00      0.00      0.00
00:56:21      3.22      0.00      0.00      0.00      0.00      0.00
00:56:22      4.27      0.00      0.00      0.00      0.00      0.00
  Time         eno33np0          enp65s0f0np0        enp65s0f1np1   
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
00:56:23      2.93      0.06      0.00      0.00      0.00      0.00
00:56:24      3.92      0.00      0.00      0.00      0.00      0.00
00:56:25      3.96      2.79      0.00      0.00      0.00      0.00
00:56:26      3.22      0.00      0.00      0.00      0.00      0.00
00:56:27      3.04      0.00      0.00      0.00      0.00      0.00
00:56:28      3.28      0.00      0.00      0.00      0.00      0.00
00:56:29      4.31      0.18      0.00      0.00      0.00      0.00
00:56:30      2.52      0.06      0.00      0.00      0.00      0.00
00:56:31      4.10      0.00      0.00      0.00      0.00      0.00
00:56:32      1.58      0.08      0.00      0.00      0.00      0.00
00:56:33      4.68      0.00      0.00      0.00      0.00      0.00
00:56:34      2.52      0.00      0.00      0.00      0.00      0.00
00:56:35      3.69      0.00      0.00      0.00      0.00      0.00
00:56:36      3.15      0.15      0.00      0.00      0.00      0.00
00:56:37      3.16      0.00      0.00      0.00      0.00      0.00
00:56:38      3.23      0.00      0.00      0.00      0.00      0.00
00:56:39      3.10      0.00      0.00      0.00      0.00      0.00
00:56:40      3.57      0.00      0.00      0.00      0.00      0.00
00:56:41      2.75      0.06      0.00      0.00      0.00      0.00
00:56:42      3.72      0.09      0.00      0.00      0.00      0.00
00:56:43      4.92      0.00      0.00      0.00      0.00      0.00
00:56:44      2.16      0.09      0.00      0.00      0.00      0.00
  Time         eno33np0          enp65s0f0np0        enp65s0f1np1   
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
00:56:45      3.78      0.14      0.00      0.00      0.00      0.00
00:56:46      6.46      4.01      0.00      0.00      0.00      0.00
00:56:47      4.56      0.69      0.00      0.00      0.00      0.00
00:56:48      8.12      2.08      0.00      0.00      0.00      0.00
00:56:49      4.11      2.06      0.00      0.00      0.00      0.00
00:56:50      7.11      4.14      0.00      0.00      0.00      0.00
00:56:51      2.76      0.74      0.00      0.00      0.00      0.00
00:56:52      4.80      1.43      0.00      0.00      0.00      0.00
00:56:53      2.71      0.71      0.00      0.00      0.00      0.00
00:56:54      5.00      0.39      0.00      0.00      0.00      0.00
00:56:55      4.56      1.83      0.00      0.00      0.00      0.00
00:56:56      6.32      0.90      0.00      0.00      0.00      0.00
00:56:57      3.66      1.76      0.00      0.00      0.00      0.00
00:56:58      6.54      2.00      0.00      0.00      0.00      0.00
00:56:59      2.83      0.34      0.00      0.00      0.00      0.00
00:57:00      7.22      1.04      0.00      0.00      0.00      0.00
00:57:01      3.88      1.09      0.00      0.00      0.00      0.00
00:57:02      6.55      1.40      0.00      0.00      0.00      0.00
00:57:03      3.88      0.24      0.00      0.00      0.00      0.00
00:57:04      4.46      1.90      0.00      0.00      0.00      0.00
00:57:05      4.74      0.96      0.00      0.00      0.00      0.00
00:57:06      4.13      1.42      0.00      0.00      0.00      0.00
  Time         eno33np0          enp65s0f0np0        enp65s0f1np1   
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
00:57:07      5.31      1.98      0.00      0.00      0.00      0.00
00:57:08      5.40      1.43      0.00      0.00      0.00      0.00
00:57:09      3.88      0.71      0.00      0.00      0.00      0.00
00:57:10      3.66      0.39      0.00      0.00      0.00      0.00
00:57:11      4.50      1.83      0.00      0.00      0.00      0.00
00:57:12      5.72      1.13      0.00      0.00      0.00      0.00
00:57:13      7.62      2.79      0.00      0.00      0.00      0.00
00:57:14      4.69      0.87      0.00      0.00      0.00      0.00
00:57:15      4.10      0.73      0.00      0.00      0.00      0.00
00:57:16      5.81      1.89      0.00      0.00      0.00      0.00
