  Time         eno33np0          enp65s0f0np0        enp65s0f1np1   
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
00:47:16      3.34      0.00      0.00      0.00      0.00      0.00
00:47:17      9.35      4.49      0.00      0.00      0.00      0.00
00:47:18      2.81      0.00      0.00      0.00      0.00      0.00
00:47:19      4.27      0.00    143.01  105812.1    134.79  104259.6
00:47:20      3.51      0.00    308.75  369664.7    527.73  348196.0
00:47:21      3.92      0.00    271.57  384546.6    522.67  351825.7
00:47:22      4.17      0.00    275.53  384875.3    526.49  352165.0
00:47:23      3.16      0.00    282.55  385591.6    561.67  351986.7
00:47:24      4.04      0.00    282.46  385179.4    561.00  351684.7
00:47:25      3.92      0.00    282.55  385369.1    553.19  349336.9
00:47:26      4.33      0.00    282.14  385133.6    460.67  314330.3
00:47:27      4.16      0.00    282.34  385269.4    460.27  314191.0
00:47:28      3.22      0.00    282.54  385327.9    460.39  314156.8
00:47:29      3.28      0.06    282.34  385320.1    459.99  313969.2
00:47:30      3.92      0.00    282.55  385357.8    459.99  313926.8
00:47:31      3.45      0.00    282.34  385429.9    461.05  314572.7
00:47:32      3.34      0.00    282.54  385353.9    461.29  314782.8
00:47:33      2.93      0.00    282.64  385358.6    464.53  314709.5
00:47:34      2.46      0.00    282.53  385342.3    465.76  314750.3
00:47:35      3.16      0.00    282.34  385199.2    465.75  314739.9
00:47:36      3.58      0.00    282.45  385191.8    466.48  315158.6
00:47:37      3.29      0.10    282.23  385177.0    465.85  314885.5
  Time         eno33np0          enp65s0f0np0        enp65s0f1np1   
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
00:47:38      3.16      0.00    282.14  385051.7    464.96  314192.9
00:47:39      1.93      0.00    194.41  264793.3    323.82  218747.9
00:47:40      4.21      0.00      0.00      0.00      0.00      0.00
00:47:41      3.63      0.00      0.00      0.00      0.00      0.00
00:47:42      3.63      0.00      0.00      0.00      0.00      0.00
00:47:43      4.68      0.00      0.00      0.00      0.00      0.00
00:47:44     23.57     18.98      0.00      0.00      0.00      0.00
00:47:45     22.78     18.38      0.00      0.00      0.00      0.00
00:47:46     27.46     17.67      0.00      0.00      0.00      0.00
