Server address : 10.10.1.1:4433, Client address 10.10.1.2:5772
Server address : 10.10.2.1:4707, Client address 10.10.2.2:6945
Server address : 10.10.1.1:6557, Client address 10.10.1.2:6078
Server address : 10.10.2.1:6719, Client address 10.10.2.2:6180
Server address : 10.10.1.1:5941, Client address 10.10.1.2:4445
Server address : 10.10.2.1:5440, Client address 10.10.2.2:5664
Server address : 10.10.1.1:5278, Client address 10.10.1.2:6525
Server address : 10.10.2.1:5706, Client address 10.10.2.2:6217
Server address : 10.10.1.1:5837, Client address 10.10.1.2:6536
Server address : 10.10.2.1:6382, Client address 10.10.2.2:5425
Server address : 10.10.1.1:5997, Client address 10.10.1.2:5484
Server address : 10.10.2.1:5310, Client address 10.10.2.2:6695
Server address : 10.10.1.1:6970, Client address 10.10.1.2:6798
Server address : 10.10.2.1:6725, Client address 10.10.2.2:5683
Server address : 10.10.1.1:4812, Client address 10.10.1.2:5513
Server address : 10.10.2.1:5859, Client address 10.10.2.2:5134
