Server address : 10.10.1.1:4433, Client address 10.10.1.2:5904
Server address : 10.10.2.1:6116, Client address 10.10.2.2:5839
Server address : 10.10.1.1:5051, Client address 10.10.1.2:5464
Server address : 10.10.2.1:6250, Client address 10.10.2.2:5378
Server address : 10.10.1.1:5686, Client address 10.10.1.2:5184
Server address : 10.10.2.1:5498, Client address 10.10.2.2:6107
Server address : 10.10.1.1:6706, Client address 10.10.1.2:4894
Server address : 10.10.2.1:4792, Client address 10.10.2.2:6273
Server address : 10.10.1.1:5095, Client address 10.10.1.2:4822
Server address : 10.10.2.1:5372, Client address 10.10.2.2:6698
Server address : 10.10.1.1:5245, Client address 10.10.1.2:6178
Server address : 10.10.2.1:4830, Client address 10.10.2.2:6376
Server address : 10.10.1.1:6474, Client address 10.10.1.2:4801
Server address : 10.10.2.1:5803, Client address 10.10.2.2:5950
Server address : 10.10.1.1:5978, Client address 10.10.1.2:4742
Server address : 10.10.2.1:4851, Client address 10.10.2.2:5712
