[2024-06-02T10:48:17.850136627Z INFO  quiche_apps::client] connecting to 10.10.1.1:6474 from 10.10.1.2:4801 with scid 348b8072bbe92e9c25b94fdcb9d8c86efb0d7656
[2024-06-02T10:48:37.894175929Z INFO  quiche] Received fin for stream id 3
[2024-06-02T10:48:37.894355625Z INFO  quiche_apps::client] receieved in 20.044094084s app_conn: AdaptedMcMPQUICConnClient { received: 7586242373, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:48:37.904440936Z INFO  quiche_apps::client] receieved in 20.054179405s app_conn: AdaptedMcMPQUICConnClient { received: 7586242373, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:48:37.914499367Z INFO  quiche_apps::client] receieved in 20.064237846s app_conn: AdaptedMcMPQUICConnClient { received: 7586242373, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:48:37.924556746Z INFO  quiche_apps::client] receieved in 20.074295265s app_conn: AdaptedMcMPQUICConnClient { received: 7586242373, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:48:37.934615737Z INFO  quiche_apps::client] receieved in 20.084354256s app_conn: AdaptedMcMPQUICConnClient { received: 7586242373, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:48:37.944674068Z INFO  quiche_apps::client] receieved in 20.094412587s app_conn: AdaptedMcMPQUICConnClient { received: 7586242373, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:48:37.954732238Z INFO  quiche_apps::client] connection closed, recv=5842331 sent=28609 lost=0 retrans=0 sent_bytes=1502002 recv_bytes=7886702502 lost_bytes=0 [local_addr=10.10.1.2:4801 peer_addr=10.10.1.1:6474 validation_state=Validated state=Active recv=5842331 sent=28609 lost=0 lost_spurious=0 retrans=0 rtt=3.825528ms min_rtt=Some(60.921µs) rttvar=3.55514ms rtt_update=1535 cwnd=13500 sent_bytes=1502002 recv_bytes=7886702502 lost_bytes=0 stream_retrans_bytes=0 pmtu=1350 delivery_rate=7673]
