Server address : 10.10.1.1:4433, Client address 10.10.1.2:5823
Server address : 10.10.2.1:4697, Client address 10.10.2.2:6150
Server address : 10.10.1.1:5574, Client address 10.10.1.2:6395
Server address : 10.10.2.1:4685, Client address 10.10.2.2:6802
Server address : 10.10.1.1:5085, Client address 10.10.1.2:5728
Server address : 10.10.2.1:5141, Client address 10.10.2.2:5178
Server address : 10.10.1.1:6492, Client address 10.10.1.2:6038
Server address : 10.10.2.1:5451, Client address 10.10.2.2:4584
Server address : 10.10.1.1:6099, Client address 10.10.1.2:5960
Server address : 10.10.2.1:5518, Client address 10.10.2.2:6217
Server address : 10.10.1.1:6176, Client address 10.10.1.2:4435
Server address : 10.10.2.1:6170, Client address 10.10.2.2:4470
Server address : 10.10.1.1:6195, Client address 10.10.1.2:6627
Server address : 10.10.2.1:6656, Client address 10.10.2.2:5269
