[2024-06-02T10:19:45.676450268Z INFO  quiche_apps::client] connecting to 10.10.2.1:5445 from 10.10.2.2:5871 with scid 97d09080a24cce87d0c10d6a3f1ee0aab8d66b48
[2024-06-02T10:20:05.744354865Z INFO  quiche] Received fin for stream id 3
[2024-06-02T10:20:05.744712364Z INFO  quiche_apps::client] receieved in 20.068161598s app_conn: AdaptedMcMPQUICConnClient { received: 7172630259, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:20:05.754789311Z INFO  quiche_apps::client] receieved in 20.078238665s app_conn: AdaptedMcMPQUICConnClient { received: 7172630259, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:20:05.764848635Z INFO  quiche_apps::client] receieved in 20.088298008s app_conn: AdaptedMcMPQUICConnClient { received: 7172630259, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:20:05.774907858Z INFO  quiche_apps::client] receieved in 20.098357242s app_conn: AdaptedMcMPQUICConnClient { received: 7172630259, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:20:05.784965849Z INFO  quiche_apps::client] receieved in 20.108415223s app_conn: AdaptedMcMPQUICConnClient { received: 7172630259, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:20:05.795023480Z INFO  quiche_apps::client] receieved in 20.118472864s app_conn: AdaptedMcMPQUICConnClient { received: 7172630259, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:20:05.805085569Z INFO  quiche_apps::client] receieved in 20.128534693s app_conn: AdaptedMcMPQUICConnClient { received: 7172630259, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:20:05.815147848Z INFO  quiche_apps::client] connection closed, recv=5523688 sent=27277 lost=0 retrans=0 sent_bytes=1438745 recv_bytes=7456535062 lost_bytes=0 [local_addr=10.10.2.2:5871 peer_addr=10.10.2.1:5445 validation_state=Validated state=Active recv=5523688 sent=27277 lost=0 lost_spurious=0 retrans=0 rtt=3.06514ms min_rtt=Some(58.055µs) rttvar=4.398748ms rtt_update=1909 cwnd=13500 sent_bytes=1438745 recv_bytes=7456535062 lost_bytes=0 stream_retrans_bytes=0 pmtu=1350 delivery_rate=1775]
