  Time         eno33np0          enp65s0f0np0        enp65s0f1np1   
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
03:01:28      3.93      1.49      0.00      0.00      0.00      0.00
03:01:29      5.55      0.34      0.00      0.00      0.00      0.00
03:01:30      7.92      4.73      0.00      0.00      0.00      0.00
03:01:31      4.91      2.31      0.00      0.00      0.00      0.00
03:01:32      4.80      1.94    339.61  51635.05    291.23  43220.97
03:01:33      5.34      2.37    826.80  579795.0    719.52  416880.7
03:01:34      4.12      0.89    609.40  1.25e+06    496.76  986107.1
03:01:35      6.14      2.31    844.92  1.29e+06    763.69  1.03e+06
03:01:36      5.17      2.19    814.54  1.30e+06    773.00  1.03e+06
03:01:37      4.15      2.05    745.10  1.29e+06    760.01  1.02e+06
03:01:38      7.41      2.08    667.41  1.28e+06    769.39  1.01e+06
03:01:39      3.18      1.29    653.50  1.29e+06    752.79  1.00e+06
03:01:40      6.37      2.02    658.40  1.27e+06    701.96  1.01e+06
03:01:41      4.31      2.32    659.43  1.27e+06    703.23  1.00e+06
03:01:42      7.03      2.30    679.25  1.28e+06    716.24  1.01e+06
03:01:43      3.42      0.89    670.12  1.28e+06    703.72  1.00e+06
03:01:44      5.44      2.31    618.79  1.28e+06    714.54  1.00e+06
03:01:45      3.93      2.19    625.40  1.28e+06    724.59  1.00e+06
03:01:46      5.93      2.23    588.88  1.26e+06    712.41  988941.0
03:01:47      3.23      1.90    551.83  1.27e+06    662.91  995826.4
03:01:48      3.12      1.29    555.23  1.26e+06    624.60  1.00e+06
03:01:49      3.86      2.31    560.93  1.27e+06    614.76  1.01e+06
  Time         eno33np0          enp65s0f0np0        enp65s0f1np1   
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
03:01:50      5.20      2.00    554.72  1.26e+06    580.81  1.00e+06
03:01:51      3.87      2.37    523.68  1.26e+06    590.06  996403.6
03:01:52      6.12      2.01    365.18  891612.2    442.04  711151.5
03:01:53      4.56      1.19      0.00      0.00      0.00      0.00
03:01:54      5.27      2.19      0.00      0.00      0.00      0.00
03:01:55      5.46      2.23      0.00      0.00      0.00      0.00
03:01:56      6.16      1.90      0.00      0.00      0.00      0.00
03:01:57     25.00     20.25      0.00      0.00      0.00      0.00
03:01:58     28.10     20.71      0.00      0.00      0.00      0.00
03:01:59     32.22     21.36      0.00      0.00      0.00      0.00
