[2024-05-25T02:08:53.035618150Z INFO  quiche_apps::multicore_server] path 10.10.1.1:4433 <-> 10.10.1.2:6720 done sending: app_conn: McMPQUICConnServer { to_send: None, sent: 1096572732, stream_ids: {3}, sent_fin_ids: {3}, end_time: Some(Instant { tv_sec: 109083, tv_nsec: 555519149 }) }
[2024-05-25T02:08:53.038994826Z INFO  quiche_apps::multicore_server] path 10.10.2.1:5678 <-> 10.10.2.2:5505 done sending: app_conn: McMPQUICConnServer { to_send: None, sent: 1168130880, stream_ids: {7}, sent_fin_ids: {7}, end_time: Some(Instant { tv_sec: 109083, tv_nsec: 563342446 }) }
[2024-05-25T02:08:53.039108560Z INFO  quiche_apps::multicore_server] path 10.10.1.1:6285 <-> 10.10.1.2:5190 done sending: app_conn: McMPQUICConnServer { to_send: None, sent: 1241374976, stream_ids: {15}, sent_fin_ids: {15}, end_time: Some(Instant { tv_sec: 109083, tv_nsec: 563743106 }) }
[2024-05-25T02:08:53.039745613Z INFO  quiche_apps::multicore_server] path 10.10.1.1:6762 <-> 10.10.1.2:6370 done sending: app_conn: McMPQUICConnServer { to_send: None, sent: 1068491008, stream_ids: {39}, sent_fin_ids: {39}, end_time: Some(Instant { tv_sec: 109083, tv_nsec: 564253152 }) }
[2024-05-25T02:08:53.039772213Z INFO  quiche_apps::multicore_server] path 10.10.1.1:6506 <-> 10.10.1.2:5114 done sending: app_conn: McMPQUICConnServer { to_send: None, sent: 1111351552, stream_ids: {47}, sent_fin_ids: {47}, end_time: Some(Instant { tv_sec: 109083, tv_nsec: 564282978 }) }
[2024-05-25T02:08:53.039782071Z INFO  quiche_apps::multicore_server] path 10.10.1.1:5511 <-> 10.10.1.2:4461 done sending: app_conn: McMPQUICConnServer { to_send: None, sent: 1213030656, stream_ids: {35}, sent_fin_ids: {35}, end_time: Some(Instant { tv_sec: 109083, tv_nsec: 564172481 }) }
[2024-05-25T02:08:53.039859176Z INFO  quiche_apps::multicore_server] path 10.10.2.1:5118 <-> 10.10.2.2:5260 done sending: app_conn: McMPQUICConnServer { to_send: None, sent: 1146600246, stream_ids: {51}, sent_fin_ids: {51}, end_time: Some(Instant { tv_sec: 109083, tv_nsec: 564417219 }) }
[2024-05-25T02:08:53.039897457Z INFO  quiche_apps::multicore_server] path 10.10.1.1:5928 <-> 10.10.1.2:6960 done sending: app_conn: McMPQUICConnServer { to_send: None, sent: 1157488896, stream_ids: {11}, sent_fin_ids: {11}, end_time: Some(Instant { tv_sec: 109083, tv_nsec: 563568990 }) }
[2024-05-25T02:08:53.040035666Z INFO  quiche_apps::multicore_server] path 10.10.2.1:6813 <-> 10.10.2.2:6858 done sending: app_conn: McMPQUICConnServer { to_send: None, sent: 1154226340, stream_ids: {59}, sent_fin_ids: {59}, end_time: Some(Instant { tv_sec: 109083, tv_nsec: 564429142 }) }
[2024-05-25T02:08:53.040095689Z INFO  quiche_apps::multicore_server] path 10.10.1.1:6328 <-> 10.10.1.2:4602 done sending: app_conn: McMPQUICConnServer { to_send: None, sent: 1051725924, stream_ids: {31}, sent_fin_ids: {31}, end_time: Some(Instant { tv_sec: 109083, tv_nsec: 564148235 }) }
[2024-05-25T02:08:53.040169307Z INFO  quiche_apps::multicore_server] path 10.10.2.1:4947 <-> 10.10.2.2:5053 done sending: app_conn: McMPQUICConnServer { to_send: None, sent: 1199956224, stream_ids: {23}, sent_fin_ids: {23}, end_time: Some(Instant { tv_sec: 109083, tv_nsec: 564029072 }) }
[2024-05-25T02:08:53.040179386Z INFO  quiche_apps::multicore_server] path 10.10.2.1:6758 <-> 10.10.2.2:5157 done sending: app_conn: McMPQUICConnServer { to_send: None, sent: 1082848796, stream_ids: {43}, sent_fin_ids: {43}, end_time: Some(Instant { tv_sec: 109083, tv_nsec: 564264283 }) }
[2024-05-25T02:08:53.040215203Z INFO  quiche_apps::multicore_server] path 10.10.2.1:6016 <-> 10.10.2.2:5385 done sending: app_conn: McMPQUICConnServer { to_send: None, sent: 1181344000, stream_ids: {55}, sent_fin_ids: {55}, end_time: Some(Instant { tv_sec: 109083, tv_nsec: 564422419 }) }
[2024-05-25T02:08:53.040258674Z INFO  quiche_apps::multicore_server] path 10.10.2.1:5779 <-> 10.10.2.2:5753 done sending: app_conn: McMPQUICConnServer { to_send: None, sent: 1050775652, stream_ids: {63}, sent_fin_ids: {63}, end_time: Some(Instant { tv_sec: 109083, tv_nsec: 564435734 }) }
[2024-05-25T02:08:53.040358120Z INFO  quiche_apps::multicore_server] path 10.10.2.1:5297 <-> 10.10.2.2:4617 done sending: app_conn: McMPQUICConnServer { to_send: None, sent: 1267032320, stream_ids: {19}, sent_fin_ids: {19}, end_time: Some(Instant { tv_sec: 109083, tv_nsec: 563999617 }) }
[2024-05-25T02:08:53.040397554Z INFO  quiche_apps::multicore_server] path 10.10.1.1:6989 <-> 10.10.1.2:4961 done sending: app_conn: McMPQUICConnServer { to_send: None, sent: 1182392576, stream_ids: {27}, sent_fin_ids: {27}, end_time: Some(Instant { tv_sec: 109083, tv_nsec: 564159116 }) }
[2024-05-25T02:08:53.199933399Z INFO  quiche_apps::multicore_server] path 10.10.2.1:5678 <-> 10.10.2.2:5505 finished, recv close from peer
[2024-05-25T02:08:53.200050218Z INFO  quiche_apps::multicore_server] path 10.10.1.1:6285 <-> 10.10.1.2:5190 finished, recv close from peer
[2024-05-25T02:08:53.200663307Z INFO  quiche_apps::multicore_server] path 10.10.1.1:6762 <-> 10.10.1.2:6370 finished, recv close from peer
[2024-05-25T02:08:53.200688273Z INFO  quiche_apps::multicore_server] path 10.10.1.1:6506 <-> 10.10.1.2:5114 finished, recv close from peer
[2024-05-25T02:08:53.200717328Z INFO  quiche_apps::multicore_server] path 10.10.1.1:5511 <-> 10.10.1.2:4461 finished, recv close from peer
[2024-05-25T02:08:53.200771509Z INFO  quiche_apps::multicore_server] path 10.10.2.1:5118 <-> 10.10.2.2:5260 finished, recv close from peer
[2024-05-25T02:08:53.200839046Z INFO  quiche_apps::multicore_server] path 10.10.1.1:5928 <-> 10.10.1.2:6960 finished, recv close from peer
[2024-05-25T02:08:53.201005798Z INFO  quiche_apps::multicore_server] path 10.10.2.1:6813 <-> 10.10.2.2:6858 finished, recv close from peer
[2024-05-25T02:08:53.201018873Z INFO  quiche_apps::multicore_server] path 10.10.1.1:6328 <-> 10.10.1.2:4602 finished, recv close from peer
[2024-05-25T02:08:53.201113149Z INFO  quiche_apps::multicore_server] path 10.10.2.1:4947 <-> 10.10.2.2:5053 finished, recv close from peer
[2024-05-25T02:08:53.201113189Z INFO  quiche_apps::multicore_server] path 10.10.2.1:6758 <-> 10.10.2.2:5157 finished, recv close from peer
[2024-05-25T02:08:53.201127326Z INFO  quiche_apps::multicore_server] path 10.10.2.1:6016 <-> 10.10.2.2:5385 finished, recv close from peer
[2024-05-25T02:08:53.201201826Z INFO  quiche_apps::multicore_server] path 10.10.2.1:5779 <-> 10.10.2.2:5753 finished, recv close from peer
[2024-05-25T02:08:53.201264663Z INFO  quiche_apps::multicore_server] path 10.10.2.1:5297 <-> 10.10.2.2:4617 finished, recv close from peer
[2024-05-25T02:08:53.201318614Z INFO  quiche_apps::multicore_server] path 10.10.1.1:6989 <-> 10.10.1.2:4961 finished, recv close from peer
[2024-05-25T02:08:53.206780807Z INFO  quiche_apps::common] received message MulticorePathDoneInfo { local: 10.10.2.1:5678, peer: 10.10.2.2:5505, status: Success }
[2024-05-25T02:08:53.216844591Z INFO  quiche_apps::common] received message MulticorePathDoneInfo { local: 10.10.1.1:6285, peer: 10.10.1.2:5190, status: Success }
[2024-05-25T02:08:53.226904308Z INFO  quiche_apps::common] received message MulticorePathDoneInfo { local: 10.10.1.1:6762, peer: 10.10.1.2:6370, status: Success }
[2024-05-25T02:08:53.236963493Z INFO  quiche_apps::common] received message MulticorePathDoneInfo { local: 10.10.1.1:6506, peer: 10.10.1.2:5114, status: Success }
[2024-05-25T02:08:53.247021316Z INFO  quiche_apps::common] received message MulticorePathDoneInfo { local: 10.10.1.1:5511, peer: 10.10.1.2:4461, status: Success }
[2024-05-25T02:08:53.257077276Z INFO  quiche_apps::common] received message MulticorePathDoneInfo { local: 10.10.2.1:5118, peer: 10.10.2.2:5260, status: Success }
[2024-05-25T02:08:53.267133135Z INFO  quiche_apps::common] received message MulticorePathDoneInfo { local: 10.10.1.1:5928, peer: 10.10.1.2:6960, status: Success }
[2024-05-25T02:08:53.277190657Z INFO  quiche_apps::common] received message MulticorePathDoneInfo { local: 10.10.2.1:6813, peer: 10.10.2.2:6858, status: Success }
[2024-05-25T02:08:53.287246837Z INFO  quiche_apps::common] received message MulticorePathDoneInfo { local: 10.10.1.1:6328, peer: 10.10.1.2:4602, status: Success }
[2024-05-25T02:08:53.297302376Z INFO  quiche_apps::common] received message MulticorePathDoneInfo { local: 10.10.2.1:4947, peer: 10.10.2.2:5053, status: Success }
[2024-05-25T02:08:53.307359538Z INFO  quiche_apps::common] received message MulticorePathDoneInfo { local: 10.10.2.1:6758, peer: 10.10.2.2:5157, status: Success }
[2024-05-25T02:08:53.317420917Z INFO  quiche_apps::common] received message MulticorePathDoneInfo { local: 10.10.2.1:6016, peer: 10.10.2.2:5385, status: Success }
[2024-05-25T02:08:53.327478439Z INFO  quiche_apps::common] received message MulticorePathDoneInfo { local: 10.10.2.1:5779, peer: 10.10.2.2:5753, status: Success }
[2024-05-25T02:08:53.337534049Z INFO  quiche_apps::common] received message MulticorePathDoneInfo { local: 10.10.2.1:5297, peer: 10.10.2.2:4617, status: Success }
[2024-05-25T02:08:53.347589858Z INFO  quiche_apps::common] received message MulticorePathDoneInfo { local: 10.10.1.1:6989, peer: 10.10.1.2:4961, status: Success }
[2024-05-25T02:08:53.347596911Z INFO  quiche_apps::multicore_server] connection collected [local_addr=10.10.1.1:4433 peer_addr=10.10.1.2:6720 validation_state=Validated state=Active recv=4609 sent=843922 lost=1078 lost_spurious=0 retrans=1079 rtt=2.147538ms min_rtt=Some(22.385µs) rttvar=2.075256ms rtt_update=4603 cwnd=18896064 sent_bytes=1138524628 recv_bytes=258053 lost_bytes=1455300 stream_retrans_bytes=1405377 pmtu=1350 delivery_rate=645027, local_addr=10.10.2.1:5678 peer_addr=10.10.2.2:5505 validation_state=Validated state=Active recv=8428 sent=900072 lost=235 lost_spurious=0 retrans=236 rtt=882.127µs min_rtt=Some(17.039µs) rttvar=700.047µs rtt_update=8426 cwnd=11581214 sent_bytes=1211935487 recv_bytes=480858 lost_bytes=317250 stream_retrans_bytes=307508 pmtu=1350 delivery_rate=125516086, local_addr=10.10.2.1:5297 peer_addr=10.10.2.2:4617 validation_state=Validated state=Active recv=5208 sent=974348 lost=166 lost_spurious=0 retrans=166 rtt=1.451631ms min_rtt=Some(7.774µs) rttvar=1.209596ms rtt_update=5043 cwnd=1953450 sent_bytes=1314586306 recv_bytes=294681 lost_bytes=224100 stream_retrans_bytes=216298 pmtu=1350 delivery_rate=186973559, local_addr=10.10.1.1:6285 peer_addr=10.10.1.2:5190 validation_state=Validated state=Active recv=5269 sent=954418 lost=0 lost_spurious=0 retrans=0 rtt=1.856306ms min_rtt=Some(15.498µs) rttvar=1.5511ms rtt_update=5268 cwnd=10748787 sent_bytes=1287675946 recv_bytes=296658 lost_bytes=0 stream_retrans_bytes=0 pmtu=1350 delivery_rate=109982499, local_addr=10.10.1.1:5928 peer_addr=10.10.1.2:6960 validation_state=Validated state=Active recv=8588 sent=891632 lost=0 lost_spurious=0 retrans=2 rtt=820.814µs min_rtt=Some(23.074µs) rttvar=736.453µs rtt_update=8523 cwnd=1105010162 sent_bytes=1200549891 recv_bytes=488073 lost_bytes=0 stream_retrans_bytes=2606 pmtu=1350 delivery_rate=116760329, local_addr=10.10.1.1:6328 peer_addr=10.10.1.2:4602 validation_state=Validated state=Active recv=7718 sent=810134 lost=0 lost_spurious=0 retrans=1 rtt=1.320726ms min_rtt=Some(16.287µs) rttvar=1.030608ms rtt_update=7650 cwnd=16485011 sent_bytes=1090607853 recv_bytes=436296 lost_bytes=0 stream_retrans_bytes=1303 pmtu=1350 delivery_rate=112614864, local_addr=10.10.2.1:4947 peer_addr=10.10.2.2:5053 validation_state=Validated state=Active recv=8694 sent=926028 lost=1654 lost_spurious=0 retrans=1655 rtt=988.551µs min_rtt=Some(10.397µs) rttvar=792.243µs rtt_update=8628 cwnd=12604631 sent_bytes=1246955977 recv_bytes=496922 lost_bytes=2232900 stream_retrans_bytes=2156220 pmtu=1350 delivery_rate=190951804, local_addr=10.10.2.1:6758 peer_addr=10.10.2.2:5157 validation_state=Validated state=Active recv=7866 sent=834119 lost=0 lost_spurious=0 retrans=1 rtt=1.04076ms min_rtt=Some(5.245µs) rttvar=839.692µs rtt_update=7795 cwnd=13707644 sent_bytes=1122912133 recv_bytes=445555 lost_bytes=0 stream_retrans_bytes=1303 pmtu=1350 delivery_rate=256690424, local_addr=10.10.1.1:6989 peer_addr=10.10.1.2:4961 validation_state=Validated state=Active recv=8946 sent=910822 lost=0 lost_spurious=0 retrans=2 rtt=917.177µs min_rtt=Some(7.038µs) rttvar=726.647µs rtt_update=8937 cwnd=1114518214 sent_bytes=1226453325 recv_bytes=508250 lost_bytes=0 stream_retrans_bytes=2606 pmtu=1350 delivery_rate=218812895, local_addr=10.10.2.1:6016 peer_addr=10.10.2.2:5385 validation_state=Validated state=Active recv=8847 sent=910015 lost=0 lost_spurious=0 retrans=1 rtt=959.516µs min_rtt=Some(15.055µs) rttvar=758.952µs rtt_update=8775 cwnd=1111135388 sent_bytes=1225361467 recv_bytes=503011 lost_bytes=0 stream_retrans_bytes=1293 pmtu=1350 delivery_rate=199070734, local_addr=10.10.1.1:5511 peer_addr=10.10.1.2:4461 validation_state=Validated state=Active recv=9047 sent=934429 lost=0 lost_spurious=0 retrans=1 rtt=921.926µs min_rtt=Some(8.051µs) rttvar=668.286µs rtt_update=9045 cwnd=1140449803 sent_bytes=1258319988 recv_bytes=515780 lost_bytes=0 stream_retrans_bytes=1303 pmtu=1350 delivery_rate=148061311, local_addr=10.10.2.1:5118 peer_addr=10.10.2.2:5260 validation_state=Validated state=Active recv=10014 sent=884131 lost=892 lost_spurious=0 retrans=893 rtt=911.278µs min_rtt=Some(7.262µs) rttvar=761.865µs rtt_update=9943 cwnd=6577147 sent_bytes=1190442547 recv_bytes=571623 lost_bytes=1204200 stream_retrans_bytes=1163579 pmtu=1350 delivery_rate=124516250, local_addr=10.10.1.1:6762 peer_addr=10.10.1.2:6370 validation_state=Validated state=Active recv=7767 sent=823052 lost=0 lost_spurious=0 retrans=1 rtt=1.055545ms min_rtt=Some(9.874µs) rttvar=611.87µs rtt_update=7762 cwnd=26940824 sent_bytes=1107993993 recv_bytes=439628 lost_bytes=0 stream_retrans_bytes=1303 pmtu=1350 delivery_rate=160975554, local_addr=10.10.2.1:5779 peer_addr=10.10.2.2:5753 validation_state=Validated state=Active recv=7548 sent=810982 lost=1558 lost_spurious=0 retrans=1562 rtt=1.081715ms min_rtt=Some(2.51µs) rttvar=807.697µs rtt_update=7481 cwnd=25159335 sent_bytes=1091732198 recv_bytes=427958 lost_bytes=2103300 stream_retrans_bytes=2035286 pmtu=1350 delivery_rate=200872484, local_addr=10.10.1.1:6506 peer_addr=10.10.1.2:5114 validation_state=Validated state=Active recv=6083 sent=854954 lost=0 lost_spurious=0 retrans=2 rtt=2.240336ms min_rtt=Some(14.19µs) rttvar=1.719191ms rtt_update=6080 cwnd=1050479444 sent_bytes=1152486772 recv_bytes=341898 lost_bytes=0 stream_retrans_bytes=2606 pmtu=1350 delivery_rate=137043727, local_addr=10.10.2.1:6813 peer_addr=10.10.2.2:6858 validation_state=Validated state=Active recv=7953 sent=889246 lost=133 lost_spurious=0 retrans=133 rtt=1.214963ms min_rtt=Some(8.018µs) rttvar=710.142µs rtt_update=7703 cwnd=2411061 sent_bytes=1197333240 recv_bytes=455595 lost_bytes=179550 stream_retrans_bytes=173299 pmtu=1350 delivery_rate=125436341]
[2024-05-25T02:08:53.352756648Z INFO  quiche_apps::multicore_server] [Listener] listening on 10.10.1.1:4433
