  Time        ens2f0np0           ens2f1np1           ens1f0np0     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
18:00:21      0.00      0.00      0.00      0.00      6.31      0.86
18:00:22      0.00      0.00      0.00      0.00      6.16      0.57
18:00:23      0.00      0.00      0.00      0.00      6.57      0.00
18:00:24      0.00      0.00      0.00      0.00      5.03      0.00
18:00:25      0.00      0.00      0.00      0.00      5.56      0.00
18:00:26      0.00      0.00      0.00      0.00      5.62      0.00
18:00:27      0.00      0.00      0.00      0.00      6.51      0.18
18:00:28      0.00      0.00      0.00      0.00      6.26      0.12
18:00:29      0.00      0.00      0.00      0.00      5.79      0.00
18:00:30      0.00      0.00      0.00      0.00      5.50      0.00
18:00:31      0.00      0.00      0.00      0.00      5.56      0.00
18:00:32      0.00      0.00      0.00      0.00      6.26      0.00
18:00:33      0.00      0.00      0.00      0.00      8.68      2.06
18:00:34      0.00      0.00      0.00      0.00      9.57      2.40
18:00:35      0.00      0.00      0.00      0.00      6.09      0.00
18:00:36      0.00      0.00      0.00      0.00      5.03      0.06
18:00:37    463.05  69961.70    435.37  65371.11      6.92      0.06
18:00:38    334.55  535465.6    401.49  527393.0      5.03      0.00
18:00:39    603.33  1.09e+06    523.13  1.15e+06      5.85      0.00
18:00:40    475.37  1.11e+06    495.82  1.15e+06      5.56      0.00
18:00:41    542.82  1.10e+06    474.09  1.15e+06      5.50      0.00
18:00:42    486.86  1.10e+06    483.48  1.17e+06      5.68      0.00
  Time        ens2f0np0           ens2f1np1           ens1f0np0     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
18:00:43    694.58  1.33e+06    607.48  1.38e+06      5.85      0.00
18:00:44    803.81  1.66e+06    691.27  1.68e+06      6.44      0.00
18:00:45    766.54  1.65e+06    516.28  1.71e+06      5.03      0.00
18:00:46    771.64  1.68e+06    518.05  1.71e+06      5.87      0.00
18:00:47    720.93  1.71e+06    526.17  1.72e+06      5.38      0.00
18:00:48    688.39  1.69e+06    542.12  1.71e+06      6.74      0.06
18:00:49    689.86  1.71e+06    541.27  1.73e+06      5.56      0.00
18:00:50    651.80  1.70e+06    510.00  1.79e+06      5.79      0.00
18:00:51    575.15  1.72e+06    436.55  1.90e+06      6.28      0.06
18:00:52    569.81  1.71e+06    417.35  1.93e+06      5.27      0.00
18:00:53    573.26  1.71e+06    409.02  1.92e+06      5.85      0.00
18:00:54    578.39  1.71e+06    411.79  1.94e+06      5.68      0.00
18:00:55    564.11  1.71e+06    411.19  1.94e+06      5.34      0.06
18:00:56    577.28  1.71e+06    411.70  1.94e+06      5.85      0.00
18:00:57    103.79  312099.7     79.62  356148.0      6.61      0.06
18:00:58      0.00      0.00      0.00      0.00      6.26      0.00
18:00:59      0.00      0.00      0.00      0.00      5.85      0.00
18:01:00      0.00      0.00      0.00      0.00      6.26      0.00
18:01:01      0.00      0.00      0.00      0.00      5.97      0.00
18:01:02      0.00      0.00      0.00      0.00      6.32      0.00
18:01:03      0.00      0.00      0.00      0.00      6.26      0.06
18:01:04      0.00      0.00      0.00      0.00      4.97      0.00
  Time        ens2f0np0           ens2f1np1           ens1f0np0     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
18:01:05      0.00      0.00      0.00      0.00      6.61      0.00
18:01:06      0.00      0.00      0.00      0.00      5.44      0.06
18:01:07      0.00      0.00      0.00      0.00      5.22      0.06
18:01:08      0.00      0.00      0.00      0.00      5.03      0.23
18:01:09      0.00      0.00      0.00      0.00      4.21      0.00
18:01:10      0.00      0.00      0.00      0.00      4.51      0.00
18:01:11      0.00      0.00      0.00      0.00      5.50      0.00
18:01:12      0.00      0.00      0.00      0.00      5.62      0.00
18:01:13      0.00      0.00      0.00      0.00      5.09      0.06
18:01:14      0.00      0.00      0.00      0.00      8.26      2.43
18:01:15      0.00      0.00      0.00      0.00      5.49      0.64
18:01:16      0.00      0.00      0.00      0.00      4.10      0.00
18:01:17      0.00      0.00      0.00      0.00     10.46      4.68
18:01:18      0.00      0.00      0.00      0.00     14.45      7.48
18:01:19      0.00      0.00      0.00      0.00      9.10      2.94
18:01:20      0.00      0.00      0.00      0.00      7.77      1.96
18:01:21      0.00      0.00      0.00      0.00      7.27      2.78
18:01:22      0.00      0.00      0.00      0.00      8.66      3.22
18:01:23      0.00      0.00      0.00      0.00     10.09      3.29
18:01:24      0.00      0.00      0.00      0.00      8.97      2.96
18:01:25      0.00      0.00      0.00      0.00     11.59      4.78
18:01:26      0.00      0.00      0.00      0.00      8.89      2.80
  Time        ens2f0np0           ens2f1np1           ens1f0np0     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
18:01:27      0.00      0.00      0.00      0.00     10.65      3.08
18:01:28      0.00      0.00      0.00      0.00     27.43     13.92
18:01:29      0.00      0.00      0.00      0.00     22.53     12.06
18:01:30      0.00      0.00      0.00      0.00      9.01      2.45
18:01:31      0.00      0.00      0.00      0.00     11.27      4.41
18:01:32      0.00      0.00      0.00      0.00     10.47      3.12
