Server address : 10.10.1.1:4433, Client address 10.10.1.2:6664
Server address : 10.10.2.1:5814, Client address 10.10.2.2:5491
Server address : 10.10.1.1:6690, Client address 10.10.1.2:6440
Server address : 10.10.2.1:4783, Client address 10.10.2.2:4594
Server address : 10.10.1.1:5112, Client address 10.10.1.2:4687
Server address : 10.10.2.1:5673, Client address 10.10.2.2:5069
Server address : 10.10.1.1:4895, Client address 10.10.1.2:6040
Server address : 10.10.2.1:6116, Client address 10.10.2.2:5850
Server address : 10.10.1.1:6134, Client address 10.10.1.2:6776
Server address : 10.10.2.1:5306, Client address 10.10.2.2:5215
Server address : 10.10.1.1:5004, Client address 10.10.1.2:5607
