  Time         eno33np0          enp65s0f0np0        enp65s0f1np1   
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
13:36:10      3.27      1.12      0.00      0.00      0.00      0.00
13:36:11      8.54      4.83  32242.05    213.65  30547.00    204.68
13:36:12      4.33      0.00  594869.1    653.06  531423.3    665.82
13:36:13      2.11      0.00  1.23e+06    644.27  1.06e+06    774.35
13:36:14      4.33      0.00  1.27e+06    679.43  1.11e+06    779.22
13:36:15      3.69      0.06  1.19e+06    651.12  1.15e+06    811.44
13:36:16      2.23      0.00  1.23e+06    690.13  1.18e+06    837.88
13:36:17      3.57      0.00  1.20e+06    656.07  1.13e+06    707.82
13:36:18      3.51      0.00  1.19e+06    653.12  1.13e+06    709.84
13:36:19      4.39      0.00  1.12e+06    617.26  1.14e+06    724.70
13:36:20      2.34      0.06  1.15e+06    626.42  1.12e+06    709.64
13:36:21      4.39      0.00  1.14e+06    641.46  1.14e+06    728.50
13:36:22      2.63      0.00  1.17e+06    657.07  1.11e+06    716.24
13:36:23      3.51      0.00  1.16e+06    653.07  1.12e+06    711.84
13:36:24      2.63      0.06  1.09e+06    600.04  1.14e+06    707.34
13:36:25      2.63      0.00  1.15e+06    624.53  1.17e+06    745.84
13:36:26      2.22      0.00  1.15e+06    639.77  1.17e+06    768.00
13:36:27      3.39      0.00  1.18e+06    679.06  1.12e+06    740.08
13:36:28      2.69      0.00  1.22e+06    699.29  1.06e+06    679.95
13:36:29      4.80      0.00  1.21e+06    688.76  1.07e+06    684.77
13:36:30      3.10      0.00  1.16e+06    636.02  1.06e+06    659.57
13:36:31      6.02      3.00  970904.8    541.91  859893.6    540.47
  Time         eno33np0          enp65s0f0np0        enp65s0f1np1   
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
13:36:32     20.73     15.72      0.00      0.00      0.00      0.00
