Server address : 10.10.1.1:4433, Client address 10.10.1.2:4460
Server address : 10.10.2.1:4586, Client address 10.10.2.2:5299
Server address : 10.10.1.1:6407, Client address 10.10.1.2:6336
Server address : 10.10.2.1:5740, Client address 10.10.2.2:6147
Server address : 10.10.1.1:6598, Client address 10.10.1.2:6794
Server address : 10.10.2.1:6419, Client address 10.10.2.2:5174
Server address : 10.10.1.1:5327, Client address 10.10.1.2:6506
Server address : 10.10.2.1:5865, Client address 10.10.2.2:6209
Server address : 10.10.1.1:4551, Client address 10.10.1.2:4730
Server address : 10.10.2.1:6695, Client address 10.10.2.2:5187
Server address : 10.10.1.1:6710, Client address 10.10.1.2:6053
Server address : 10.10.2.1:6149, Client address 10.10.2.2:5537
