  Time         eno33np0          enp65s0f0np0        enp65s0f1np1   
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
20:33:20      6.69      2.44      0.00      0.00      0.00      0.00
20:33:21      6.70      1.47  121165.2     42.89  142743.3     87.15
20:33:22      2.75      0.00  338599.3    239.22  384667.2    134.91
20:33:23      4.04      0.00  337185.7    237.97  425192.6    139.60
20:33:24      3.04      0.00  346489.7    248.05  419114.8    147.20
20:33:25      4.36      0.08  376356.4    270.92  414688.3    152.11
20:33:26      3.46      0.00  369993.4    271.81  414690.9    152.50
20:33:27      5.09      0.06  368543.7    270.30  414876.3    152.40
20:33:28      1.99      0.00  367723.9    269.67  414835.0    152.20
20:33:29      4.39      0.00  368654.1    270.74  413817.9    151.53
20:33:30      2.30      0.08  368463.7    270.39  413047.7    151.60
20:33:31      2.69      0.00  368344.5    269.88  413596.6    151.90
20:33:32      1.87      0.00  369335.4    269.72  413062.2    151.81
20:33:33      3.04      0.00  378990.5    274.51  413900.0    151.99
20:33:34      3.69      0.00  370702.6    271.91  414267.0    152.46
20:33:35      2.46      0.00  370323.1    272.09  425450.4    145.51
20:33:36      2.87      0.00  370162.7    271.10  413929.4    152.54
20:33:37      2.69      0.00  370352.1    271.80  415242.9    151.28
20:33:38      4.10      0.00  370676.2    271.97  417813.6    148.56
20:33:39      2.22      0.00  370489.6    271.82  418548.1    150.16
20:33:40      2.93      0.00  372862.5    273.61  421739.8    146.99
20:33:41      2.22      0.24  231914.3    170.50  278467.0    100.67
  Time         eno33np0          enp65s0f0np0        enp65s0f1np1   
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
20:33:42      6.35      2.35      0.00      0.00      0.00      0.00
20:33:43      5.37      1.16      0.00      0.00      0.00      0.00
20:33:44      5.64      2.53      0.00      0.00      0.00      0.00
20:33:45      7.44      2.82      0.00      0.00      0.00      0.00
20:33:46      3.65      0.96      0.00      0.00      0.00      0.00
20:33:47      7.13      2.50      0.00      0.00      0.00      0.00
20:33:48      4.13      1.58      0.00      0.00      0.00      0.00
20:33:49      7.44      2.35      0.00      0.00      0.00      0.00
20:33:50      5.18      2.04      0.00      0.00      0.00      0.00
20:33:51      6.94      2.51      0.00      0.00      0.00      0.00
20:33:52      4.62      2.28      0.00      0.00      0.00      0.00
20:33:53      5.47      1.32      0.00      0.00      0.00      0.00
20:33:54      7.78      2.41      0.00      0.00      0.00      0.00
20:33:55      6.79      2.08      0.00      0.00      0.00      0.00
20:33:56      6.38      1.38      0.00      0.00      0.00      0.00
20:33:57      4.32      2.93      0.00      0.00      0.00      0.00
20:33:58      6.12      2.19      0.00      0.00      0.00      0.00
20:33:59      6.20      0.45      0.00      0.00      0.00      0.00
20:34:00      9.64      2.96      0.00      0.00      0.00      0.00
20:34:01      5.34      2.80      0.00      0.00      0.00      0.00
20:34:02      6.83      1.16      0.00      0.00      0.00      0.00
20:34:03      5.25      2.47      0.00      0.00      0.00      0.00
