Server address : 10.10.1.1:4433, Client address 10.10.1.2:5323
Server address : 10.10.2.1:4962, Client address 10.10.2.2:4941
Server address : 10.10.1.1:4876, Client address 10.10.1.2:4625
Server address : 10.10.2.1:6479, Client address 10.10.2.2:6852
Server address : 10.10.1.1:4748, Client address 10.10.1.2:6677
Server address : 10.10.2.1:6976, Client address 10.10.2.2:5705
Server address : 10.10.1.1:6127, Client address 10.10.1.2:5738
Server address : 10.10.2.1:6007, Client address 10.10.2.2:6581
Server address : 10.10.1.1:5667, Client address 10.10.1.2:6994
Server address : 10.10.2.1:5381, Client address 10.10.2.2:6082
Server address : 10.10.1.1:4860, Client address 10.10.1.2:5672
