  Time         eno33np0          enp65s0f0np0        enp65s0f1np1   
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
11:59:12      6.19      1.12      0.00      0.00      0.00      0.00
11:59:13      9.28      4.83      0.00      0.00      0.00      0.00
11:59:14      5.44      0.00      0.00      0.00      0.00      0.00
11:59:15      2.34      0.06    258.98  82884.87    278.74  82762.92
11:59:16      4.33      0.00    612.01  203490.8    641.69  203597.9
11:59:17      3.69      0.00    648.62  203498.9    658.00  203292.1
11:59:18      4.62      0.00    662.18  203228.0    630.37  203036.6
11:59:19      3.63      0.00    681.79  202342.6    624.17  202253.9
11:59:20      3.63      0.00    614.22  203554.5    620.07  203458.2
11:59:21      5.03      0.00    653.14  202553.4    650.52  202692.4
11:59:22      4.80      0.00    663.68  202840.6    615.64  202823.4
11:59:23      4.97      0.00    686.45  203072.9    606.69  202875.2
11:59:24      4.21      0.00    662.87  202944.7    621.12  202868.8
11:59:25      3.22      0.00    677.08  202961.0    614.13  202698.9
11:59:26      4.62      0.00    635.28  202343.4    650.41  202374.1
11:59:27      3.92      0.00    620.13  202295.3    662.20  202120.5
11:59:28      2.22      0.00    639.27  203122.3    645.95  203140.0
11:59:29      3.69      0.00    628.04  202952.1    635.55  202980.8
11:59:30      3.51      0.00    628.72  202875.5    639.61  202691.2
11:59:31      2.63      0.00    650.77  203194.6    635.34  202986.5
11:59:32      4.22      0.00    683.61  202770.9    626.10  202738.6
11:59:33      2.75      0.00    628.37  203083.7    633.95  203028.9
  Time         eno33np0          enp65s0f0np0        enp65s0f1np1   
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
11:59:34      3.70      0.00    594.94  203609.6    645.60  203935.4
11:59:35      2.63      0.00    305.17  102391.4    315.30  102422.0
11:59:36      2.69      0.00      0.00      0.00      0.00      0.00
11:59:37      4.45      0.00      0.00      0.00      0.00      0.00
11:59:38     15.01     12.66      0.00      0.00      0.00      0.00
11:59:39     25.53     22.35      0.00      0.00      0.00      0.00
