  Time         eno33np0          enp65s0f0np0        enp65s0f1np1   
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
18:16:29      5.61      1.12      0.00      0.00      0.00      0.00
18:16:30      8.81      4.88      0.00      0.00      0.00      0.00
18:16:31      4.04      0.00      0.00      0.00      0.00      0.00
18:16:32      2.75      0.00    412.58  298812.1    427.59  298018.3
18:16:33      7.16      1.43    640.26  1.09e+06    511.84  1.12e+06
18:16:34      4.56      1.43    628.93  1.08e+06    525.29  1.13e+06
18:16:35      4.86      0.00    634.08  1.08e+06    530.08  1.13e+06
18:16:36      2.93      0.00    654.82  1.09e+06    544.47  1.13e+06
18:16:37      3.92      0.00    654.08  1.09e+06    543.95  1.13e+06
18:16:38      5.51      0.00    654.04  1.08e+06    544.38  1.13e+06
18:16:39      2.46      0.00    657.16  1.09e+06    545.07  1.13e+06
18:16:40      3.16      0.00    657.88  1.09e+06    543.38  1.13e+06
18:16:41      3.57      0.00    659.85  1.09e+06    543.76  1.13e+06
18:16:42      3.93      0.06    665.92  1.09e+06    544.85  1.13e+06
18:16:43      3.22      0.00    662.07  1.09e+06    542.49  1.13e+06
18:16:44      1.81      0.00    666.43  1.09e+06    542.73  1.13e+06
18:16:45      3.39      0.06    662.52  1.09e+06    543.34  1.13e+06
18:16:46      2.93      0.00    658.65  1.08e+06    542.61  1.13e+06
18:16:47      3.10      0.00    669.25  1.09e+06    543.28  1.13e+06
18:16:48      4.51      0.00    665.17  1.09e+06    543.59  1.13e+06
18:16:49      3.80      0.00    659.51  1.08e+06    541.37  1.13e+06
18:16:50      4.57      0.00    655.75  1.08e+06    542.49  1.13e+06
  Time         eno33np0          enp65s0f0np0        enp65s0f1np1   
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
18:16:51      3.98      0.00    664.88  1.09e+06    542.69  1.13e+06
18:16:52      5.09      0.00    300.19  491686.4    248.32  514551.4
18:16:53      2.05      0.00      0.00      0.00      0.00      0.00
18:16:54      2.87      0.00      0.00      0.00      0.00      0.00
18:16:55     15.06     12.41      0.06      0.06      0.00      0.00
18:16:56     25.14     21.68      0.00      0.00      0.00      0.00
