  Time         eno33np0          enp65s0f0np0        enp65s0f1np1   
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
06:10:22      4.09      0.00      0.00      0.00      0.00      0.00
06:10:23      2.63      0.00      0.00      0.00      0.00      0.00
06:10:24      2.99      0.00      0.00      0.00      0.00      0.00
06:10:25      4.39      0.00      0.00      0.00      0.00      0.00
06:10:26      3.57      0.00      0.00      0.00      0.00      0.00
06:10:27      4.57      0.00      0.00      0.00      0.00      0.00
06:10:28      3.75      0.00      0.00      0.00      0.00      0.00
06:10:29      3.75      0.00      0.00      0.00      0.00      0.00
06:10:30      4.74      0.06      0.00      0.00      0.00      0.00
06:10:31      3.63      0.00      0.00      0.00      0.00      0.00
06:10:32      3.92      0.00      0.00      0.00      0.00      0.00
06:10:33      3.92      0.00      0.00      0.00      0.00      0.00
06:10:34      4.51      0.00      0.00      0.00      0.00      0.00
06:10:35      4.51      0.00      0.00      0.00      0.00      0.00
06:10:36      4.98      0.00      0.00      0.00      0.00      0.00
06:10:37      2.11      0.06      0.00      0.00      0.00      0.00
06:10:38      4.64      0.06      0.00      0.00      0.00      0.00
06:10:39      4.27      0.00      0.00      0.00      0.00      0.00
06:10:40      2.05      0.00      0.00      0.00      0.00      0.00
06:10:41      3.69      0.00      0.00      0.00      0.00      0.00
06:10:42      3.05      0.06      0.00      0.00      0.00      0.00
06:10:43      5.03      0.00      0.00      0.00      0.00      0.00
  Time         eno33np0          enp65s0f0np0        enp65s0f1np1   
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
06:10:44      3.87      0.24      0.00      0.00      0.00      0.00
06:10:45      6.63      1.90      0.00      0.00      0.00      0.00
06:10:46      5.71      0.44      0.00      0.00      0.00      0.00
06:10:47      6.90      1.83      0.00      0.00      0.00      0.00
06:10:48      5.22      0.24      0.00      0.00      0.00      0.00
06:10:49      4.39      0.00    751.69  977257.8    655.87  835847.8
06:10:50      4.33      0.00   1001.87  1.85e+06   1114.26  1.95e+06
06:10:51      3.06      0.16   1053.14  1.92e+06   1090.82  1.96e+06
06:10:52      4.80      0.00   1156.75  2.10e+06   1029.34  1.87e+06
06:10:53      2.17      0.00   1181.75  2.15e+06    971.21  1.81e+06
06:10:54      3.61      0.12   1143.26  2.22e+06    979.88  1.82e+06
06:10:55      4.33      0.00    988.29  2.10e+06    989.67  1.85e+06
06:10:56      4.19      0.24   1075.53  2.20e+06    889.30  1.75e+06
06:10:57      8.58      5.88    981.14  2.03e+06    933.80  1.80e+06
06:10:58      5.90      0.65   1053.25  2.13e+06    941.32  1.79e+06
06:10:59      2.87      0.00    969.25  2.18e+06   1041.92  1.87e+06
06:11:00      4.51      0.06    921.51  2.05e+06   1016.46  1.89e+06
06:11:01      3.87      0.00    984.97  2.11e+06    983.89  1.85e+06
06:11:02      5.33      0.00    905.51  2.12e+06    963.10  1.86e+06
06:11:03      3.86      0.00    843.02  2.15e+06    998.26  1.89e+06
06:11:04      4.57      0.00    871.09  2.20e+06    958.54  1.80e+06
06:11:05      4.22      0.00    919.33  2.14e+06    928.29  1.81e+06
  Time         eno33np0          enp65s0f0np0        enp65s0f1np1   
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
06:11:06      3.98      0.06    900.64  2.22e+06    898.87  1.85e+06
06:11:07      2.87      0.00    925.21  2.16e+06    798.40  1.95e+06
06:11:08      3.22      0.00    891.91  2.15e+06    794.39  1.95e+06
06:11:09      4.57      0.00    360.08  1.02e+06    386.31  959536.2
06:11:10      3.22      0.00      0.00      0.00      0.00      0.00
06:11:11      5.44      0.00      0.00      0.00      0.00      0.00
06:11:12      2.75      0.00      0.00      0.00      0.00      0.00
06:11:13      5.27      0.00      0.00      0.00      0.00      0.00
06:11:14      6.38      0.00      0.00      0.00      0.00      0.00
06:11:15      3.99      0.00      0.00      0.00      0.00      0.00
06:11:16      5.09      0.06      0.00      0.00      0.00      0.00
06:11:17      4.98      0.06      0.00      0.00      0.00      0.00
06:11:18      4.04      0.00      0.00      0.00      0.00      0.00
06:11:19      4.33      0.06      0.00      0.00      0.00      0.00
06:11:20      4.92      0.00      0.00      0.00      0.00      0.00
06:11:21      4.04      0.09      0.00      0.00      0.00      0.00
06:11:22      5.74      0.15      0.00      0.00      0.00      0.00
06:11:23      3.63      0.00      0.00      0.00      0.00      0.00
06:11:24      2.99      0.00      0.00      0.00      0.00      0.00
06:11:25      4.04      0.00      0.00      0.00      0.00      0.00
06:11:26      3.28      0.00      0.00      0.00      0.00      0.00
06:11:27      2.40      0.00      0.00      0.00      0.00      0.00
  Time         eno33np0          enp65s0f0np0        enp65s0f1np1   
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
06:11:28      4.33      0.00      0.00      0.00      0.00      0.00
06:11:29      3.16      0.00      0.00      0.00      0.00      0.00
06:11:30      4.51      0.00      0.00      0.00      0.00      0.00
06:11:31      2.99      0.06      0.00      0.00      0.00      0.00
06:11:32      4.39      0.06      0.00      0.00      0.00      0.00
06:11:33      2.69      0.00      0.00      0.00      0.00      0.00
06:11:34      3.80      0.00      0.00      0.00      0.00      0.00
06:11:35      3.28      0.00      0.00      0.00      0.00      0.00
06:11:36      4.80      0.00      0.00      0.00      0.00      0.00
06:11:37      4.03      0.15      0.00      0.00      0.00      0.00
06:11:38      4.62      0.00      0.00      0.00      0.00      0.00
06:11:39      2.87      0.00      0.00      0.00      0.00      0.00
06:11:40      3.28      0.00      0.00      0.00      0.00      0.00
06:11:41      3.04      0.00      0.00      0.00      0.00      0.00
06:11:42      3.80      0.00      0.00      0.00      0.00      0.00
06:11:43      2.28      0.00      0.00      0.00      0.00      0.00
06:11:44      6.56      0.00      0.00      0.00      0.00      0.00
06:11:45      4.18      0.16      0.00      0.00      0.00      0.00
06:11:46      4.74      0.00      0.00      0.00      0.00      0.00
06:11:47      4.16      0.00      0.00      0.00      0.00      0.00
06:11:48      4.30      0.24      0.00      0.00      0.00      0.00
06:11:49     10.04      4.01      0.00      0.00      0.00      0.00
  Time         eno33np0          enp65s0f0np0        enp65s0f1np1   
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
06:11:50      3.51      0.75      0.00      0.00      0.00      0.00
06:11:51      6.07      1.24      0.00      0.00      0.00      0.00
06:11:52      3.98      2.63      0.00      0.00      0.00      0.00
06:11:53      7.45      2.41      0.00      0.00      0.00      0.00
06:11:54      6.22      5.75      0.00      0.00      0.00      0.00
06:11:55      7.20      1.43      0.00      0.00      0.00      0.00
06:11:56      2.82      1.00      0.00      0.00      0.00      0.00
06:11:57      4.75      0.73      0.00      0.00      0.00      0.00
06:11:58      4.01      1.42      0.00      0.00      0.00      0.00
06:11:59      5.95      1.54      0.00      0.00      0.00      0.00
06:12:00      6.45      2.30      0.00      0.00      0.00      0.00
06:12:01      3.12      0.71      0.00      0.00      0.00      0.00
06:12:02      4.54      0.44      0.00      0.00      0.00      0.00
06:12:03      4.21      1.83      0.00      0.00      0.00      0.00
06:12:04      5.38      0.58      0.00      0.00      0.00      0.00
06:12:05      3.24      1.00      0.00      0.00      0.00      0.00
06:12:06      6.78      1.36      0.00      0.00      0.00      0.00
06:12:07      3.23      0.88      0.00      0.00      0.00      0.00
06:12:08      3.52      0.73      0.00      0.00      0.00      0.00
06:12:09      4.71      1.31      0.00      0.00      0.00      0.00
06:12:10      5.91      1.35      0.00      0.00      0.00      0.00
06:12:11      4.70      0.92      0.00      0.00      0.00      0.00
  Time         eno33np0          enp65s0f0np0        enp65s0f1np1   
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
06:12:12      6.02      1.89      0.00      0.00      0.00      0.00
06:12:13      3.77      0.34      0.00      0.00      0.00      0.00
06:12:14      7.63      1.04      0.00      0.00      0.00      0.00
06:12:15      5.50      1.47      0.00      0.00      0.00      0.00
06:12:16      5.74      1.91      0.00      0.00      0.00      0.00
06:12:17      4.17      0.31      0.00      0.00      0.00      0.00
06:12:18      6.36      2.00      0.00      0.00      0.00      0.00
06:12:19      3.54      0.34      0.00      0.00      0.00      0.00
06:12:20      6.81      1.04      0.00      0.00      0.00      0.00
06:12:21      2.05      1.00      0.00      0.00      0.00      0.00
